time,size_sent,size_rcv 
10,585.9375,6404.21875 
20,1227.01171875,13902.1484375 
30,2023.125,22903.515625 
40,2851.93359375,31914.1796875 
50,3556.875,40307.265625 
60,4160.5078125,46891.4453125 
70,5003.4375,56656.484375 
80,5853.515625,66226.2890625 
90,6487.32421875,73388.8671875 
100,7414.6875,83960.7421875 
110,8132.05078125,91843.1640625 
120,8855.91796875,100109.4140625 
130,9845.44921875,111071.7578125 
140,10601.89453125,120071.1328125 
150,11627.28515625,131080.625 
160,12316.81640625,139369.453125 
170,12949.21875,146674.140625 
180,13879.39453125,156573.984375 
190,14648.4375,165414.6484375 
200,15292.96875,173183.515625 
210,16081.0546875,181581.25 
220,16851.62109375,190810.390625 
230,17663.7890625,199829.0234375 
240,18350.68359375,207759.2578125 
250,19310.390625,218627.96875 
260,20062.03125,227070.859375 
270,21152.34375,239503.4375 
280,21914.53125,247472.8515625 
290,22507.08984375,254377.7734375 
300,23496.09375,265968.984375 
310,24257.6953125,273884.609375 
320,25178.4375,285035.546875 
330,25839.90234375,292532.1484375 
340,26823.3984375,303014.375 
350,27559.21875,311795.9375 
360,28232.40234375,319242.734375 
370,29047.5,328786.640625 
380,30000.5859375,339375.78125 
390,30731.07421875,347573.6328125 
400,31746.796875,359174.8046875 
410,32813.0859375,371561.5625 
420,33457.6171875,378866.25 
430,34495.72265625,390132.734375 
440,35215.4296875,398788.125 
450,36154.51171875,408680.6640625 
460,36973.18359375,418678.125 
470,37897.96875,428533.4765625 
480,38685.41015625,437926.640625 
490,39325.72265625,445298.3984375 
500,40321.46484375,456298.59375 
510,41166.62109375,465523.75 
520,42091.34765625,475950.859375 
530,42832.6171875,484951.5625 
540,43704.19921875,494292.9296875 
550,44549.12109375,504395.9765625 
560,45208.65234375,511778.359375 
570,46182.59765625,522908.7109375 
580,46934.1796875,531426.640625 
590,47952.59765625,542026.40625 
600,48634.8046875,550611.40625 
610,49386.796875,559032.3828125 
620,49977.1875,565691.6015625 
630,51066.85546875,577946.2109375 
640,51966.62109375,587632.890625 
650,52370.68359375,592618.671875 
660,53329.453125,603519.2578125 
670,54480.76171875,616678.3203125 
680,55137.3046875,624129.1015625 
690,56113.30078125,634596.71875 
700,56895.1171875,644050.9765625 
710,57778.30078125,653675.8984375 
720,58439.0625,661300 
730,59311.171875,671308.0859375 
740,59883.3984375,677899.5703125 
750,61017.48046875,690528.7109375 
760,61629.140625,697466.8359375 
770,62754.4921875,710341.6796875 
780,63838.18359375,722612.2265625 
790,64520.2734375,730254.921875 
800,65148.1640625,737383.6328125 
810,66270.1171875,750174.140625 
820,67279.21875,761151.09375 
830,68027.9296875,770096.015625 
840,68630.859375,776718.7109375 
850,69687.7734375,788701.71875 
860,70362.3046875,796492.5 
870,71258.90625,806653.984375 
880,72102.0703125,816209.1796875 
890,72926.42578125,825142.8125 
900,73357.67578125,830137.2265625 
910,74419.74609375,842389.1796875 
920,75363.1640625,852542.03125 
930,76228.41796875,862933.9453125 
940,76924.62890625,870783.828125 
950,77988.8671875,882873.0859375 
960,78563.61328125,889092.6953125 
970,79678.53515625,901901.796875 
980,80388.8671875,909841.328125 
990,81320.390625,920293.671875 
1000,82108.30078125,929284.4140625 
1010,82725.9375,936328.125 
1020,83847.65625,949139.8828125 
1030,84459.78515625,955863.515625 
1040,85518.6328125,967973.359375 
1050,86209.74609375,975667.1875 
1060,87305.2734375,988273.0859375 
1070,87942.24609375,995441.640625 
1080,88729.39453125,1004310.859375 
1090,89798.61328125,1015979.765625 
1100,90821.484375,1028066.3671875 
1110,91511.484375,1035483.28125 
1120,92579.296875,1047543.3203125 
1130,93223.828125,1055292.9296875 
1140,93917.05078125,1063043.8671875 
1150,94981.640625,1075213.4765625 
1160,95584.5703125,1081921.8359375 
1170,96204.90234375,1088762.34375 
1180,97325.390625,1101775.9765625 
1190,98023.41796875,1109641.796875 
1200,99125.2734375,1121819.375 
1210,99902.75390625,1130907.734375 
1220,100892.2265625,1142072.6171875 
1230,101940.64453125,1153905.546875 
1240,102592.734375,1161200.2734375 
1250,103621.58203125,1173107.578125 
1260,104411.484375,1181682.6171875 
1270,105286.171875,1191427.734375 
1280,106140.29296875,1201481.640625 
1290,107178.69140625,1212817.1875 
1300,108054.31640625,1222621.40625 
1310,108925.37109375,1233070.4296875 
1320,109688.671875,1241314.765625 
1330,110306.42578125,1248704.453125 
1340,111395.7421875,1260930.5078125 
1350,112073.26171875,1268554.609375 
1360,113122.734375,1280390.1953125 
1370,114059.35546875,1290873.75 
1380,114720.703125,1298507.1484375 
1390,115526.015625,1307671.875 
1400,116646.38671875,1320471.015625 
1410,117439.5703125,1328786.40625 
1420,118360.546875,1339888.203125 
1430,119049.90234375,1347499.6875 
1440,120022.8515625,1358337.1875 
1450,121029.375,1369419.7265625 
1460,121877.87109375,1379579.21875 
1470,122609.12109375,1387675.46875 
1480,123603.57421875,1398829.0625 
1490,124324.27734375,1406975.1171875 
1500,125318.73046875,1417793.359375 
1510,126044.1796875,1426483.28125 
1520,126802.79296875,1435203.0859375 
1530,127795.4296875,1446509.4140625 
1540,128871.73828125,1458277.265625 
1549,129718.9453125,1468306.6015625 
