time,200 
10,9999 
20,20935 
30,34490 
40,48059 
50,60698 
60,70734 
70,85318 
80,99811 
90,110515 
100,126435 
110,138305 
120,150877 
130,167262 
140,180813 
150,197398 
160,209956 
170,220874 
180,235782 
190,249095 
200,260794 
210,273462 
220,287352 
230,301007 
240,312879 
250,329228 
260,341990 
270,360664 
280,372665 
290,383118 
300,400518 
310,412438 
320,429230 
330,440519 
340,456305 
350,469716 
360,480840 
370,495193 
380,511114 
390,523602 
400,540971 
410,559528 
420,570528 
430,587548 
440,600528 
450,615425 
460,630480 
470,645321 
480,659548 
490,670567 
500,687236 
510,701063 
520,716727 
530,730280 
540,744347 
550,759561 
560,770817 
570,787439 
580,800266 
590,816228 
600,829156 
610,841884 
620,851911 
630,870481 
640,884906 
650,892496 
660,908829 
670,928645 
680,939865 
690,955628 
700,969865 
710,984417 
720,996142 
730,1011040 
740,1020837 
750,1039964 
760,1050467 
770,1069691 
780,1088169 
790,1099678 
800,1110517 
810,1129674 
820,1146456 
830,1159674 
840,1169815 
850,1187692 
860,1199424 
870,1214726 
880,1229116 
890,1242568 
900,1250395 
910,1268539 
920,1283828 
930,1299477 
940,1311340 
950,1329503 
960,1338940 
970,1358158 
980,1370147 
990,1385854 
1000,1399393 
1010,1410141 
1020,1429293 
1030,1439579 
1040,1457725 
1050,1469245 
1060,1488223 
1070,1499018 
1080,1512417 
1090,1529946 
1100,1548147 
1110,1559371 
1120,1577477 
1130,1589147 
1140,1600948 
1150,1619145 
1160,1629247 
1170,1639717 
1180,1659145 
1190,1671033 
1200,1689328 
1210,1703035 
1220,1719967 
1230,1737668 
1240,1748903 
1250,1766562 
1260,1779508 
1270,1794317 
1280,1809431 
1290,1826360 
1300,1841124 
1310,1856907 
1320,1869319 
1330,1880546 
1340,1898870 
1350,1910479 
1360,1928131 
1370,1943904 
1380,1955497 
1390,1969353 
1400,1988474 
1410,2000996 
1420,2017714 
1430,2029347 
1440,2045826 
1450,2062185 
1460,2077484 
1470,2089772 
1480,2106554 
1490,2118897 
1500,2135030 
1510,2148150 
1520,2161272 
1530,2178273 
1540,2195994 
1549,2211097 
