time,size_sent,size_rcv 
10,585.9375,6404.21875 
20,641.07421875,7497.9296875 
30,796.11328125,9001.3671875 
40,828.80859375,9010.6640625 
50,704.94140625,8393.0859375 
60,603.6328125,6584.1796875 
70,842.9296875,9765.0390625 
80,850.078125,9569.8046875 
90,633.80859375,7162.578125 
100,927.36328125,10571.875 
110,717.36328125,7882.421875 
120,723.8671875,8266.25 
130,989.53125,10962.34375 
140,756.4453125,8999.375 
150,1025.390625,11009.4921875 
160,689.53125,8288.828125 
170,632.40234375,7304.6875 
180,930.17578125,9899.84375 
190,769.04296875,8840.6640625 
200,644.53125,7768.8671875 
210,788.0859375,8397.734375 
220,770.56640625,9229.140625 
230,812.16796875,9018.6328125 
240,686.89453125,7930.234375 
250,959.70703125,10868.7109375 
260,751.640625,8442.890625 
270,1090.3125,12432.578125 
280,762.1875,7969.4140625 
290,592.55859375,6904.921875 
300,989.00390625,11591.2109375 
310,761.6015625,7915.625 
320,920.7421875,11150.9375 
330,661.46484375,7496.6015625 
340,983.49609375,10482.2265625 
350,735.8203125,8781.5625 
360,673.18359375,7446.796875 
370,815.09765625,9543.90625 
380,953.0859375,10589.140625 
390,730.48828125,8197.8515625 
400,1015.72265625,11601.171875 
410,1066.2890625,12386.7578125 
420,644.53125,7304.6875 
430,1038.10546875,11266.484375 
440,719.70703125,8655.390625 
450,939.08203125,9892.5390625 
460,818.671875,9997.4609375 
470,924.78515625,9855.3515625 
480,787.44140625,9393.1640625 
490,640.3125,7371.7578125 
500,995.7421875,11000.1953125 
510,845.15625,9225.15625 
520,924.7265625,10427.109375 
530,741.26953125,9000.703125 
540,871.58203125,9341.3671875 
550,844.921875,10103.046875 
560,659.53125,7382.3828125 
570,973.9453125,11130.3515625 
580,751.58203125,8517.9296875 
590,1018.41796875,10599.765625 
600,682.20703125,8585 
610,751.9921875,8420.9765625 
620,590.390625,6659.21875 
630,1089.66796875,12254.609375 
640,899.765625,9686.6796875 
650,404.0625,4985.78125 
660,958.76953125,10900.5859375 
670,1151.30859375,13159.0625 
680,656.54296875,7450.78125 
690,975.99609375,10467.6171875 
700,781.81640625,9454.2578125 
710,883.18359375,9624.921875 
720,660.76171875,7624.1015625 
730,872.109375,10008.0859375 
740,572.2265625,6591.484375 
750,1134.08203125,12629.140625 
760,611.66015625,6938.125 
770,1125.3515625,12874.84375 
780,1083.69140625,12270.546875 
790,682.08984375,7642.6953125 
800,627.890625,7128.7109375 
810,1121.953125,12790.5078125 
820,1009.1015625,10976.953125 
830,748.7109375,8944.921875 
840,602.9296875,6622.6953125 
850,1056.9140625,11983.0078125 
860,674.53125,7790.78125 
870,896.6015625,10161.484375 
880,843.1640625,9555.1953125 
890,824.35546875,8933.6328125 
900,431.25,4994.4140625 
910,1062.0703125,12251.953125 
920,943.41796875,10152.8515625 
930,865.25390625,10391.9140625 
940,696.2109375,7849.8828125 
950,1064.23828125,12089.2578125 
960,574.74609375,6219.609375 
970,1114.921875,12809.1015625 
980,710.33203125,7939.53125 
990,931.5234375,10452.34375 
1000,787.91015625,8990.7421875 
1010,617.63671875,7043.7109375 
1020,1121.71875,12811.7578125 
1030,612.12890625,6723.6328125 
1040,1058.84765625,12109.84375 
1050,691.11328125,7693.828125 
1060,1095.52734375,12605.8984375 
1070,636.97265625,7168.5546875 
1080,787.1484375,8869.21875 
1090,1069.21875,11668.90625 
1100,1022.87109375,12086.6015625 
1110,690,7416.9140625 
1120,1067.8125,12060.0390625 
1130,644.53125,7749.609375 
1140,693.22265625,7750.9375 
1150,1064.58984375,12169.609375 
1160,602.9296875,6708.359375 
1170,620.33203125,6840.5078125 
1180,1120.48828125,13013.6328125 
1190,698.02734375,7865.8203125 
1200,1101.85546875,12177.578125 
1210,777.48046875,9088.359375 
1220,989.47265625,11164.8828125 
1230,1048.41796875,11832.9296875 
1240,652.08984375,7294.7265625 
1250,1028.84765625,11907.3046875 
1260,789.90234375,8575.0390625 
1270,874.6875,9745.1171875 
1280,854.12109375,10053.90625 
1290,1038.3984375,11335.546875 
1300,875.625,9804.21875 
1310,871.0546875,10449.0234375 
1320,763.30078125,8244.3359375 
1330,617.75390625,7389.6875 
1340,1089.31640625,12226.0546875 
1350,677.51953125,7624.1015625 
1360,1049.47265625,11835.5859375 
1370,936.62109375,10483.5546875 
1380,661.34765625,7633.3984375 
1390,805.3125,9164.7265625 
1400,1120.37109375,12799.140625 
1410,793.18359375,8315.390625 
1420,920.9765625,11101.796875 
1430,689.35546875,7611.484375 
1440,972.94921875,10837.5 
1450,1006.5234375,11082.5390625 
1460,848.49609375,10159.4921875 
1470,731.25,8096.25 
1480,994.453125,11153.59375 
1490,720.703125,8146.0546875 
1500,994.453125,10818.2421875 
1510,725.44921875,8689.921875 
1520,758.61328125,8719.8046875 
1530,992.63671875,11306.328125 
1540,1076.30859375,11767.8515625 
1549,847.20703125,10029.3359375 
