time,session 
10,9724.689079834003 
20,11126.924334548346 
30,11444.417713496767 
40,11799.462080322272 
50,10952.14988801536 
60,12394.762953125 
70,12178.444995078822 
80,11835.327779035279 
90,11031.102241175806 
100,11346.681051598975 
110,10962.615157243263 
120,10407.168068493911 
130,11067.163184560637 
140,10459.425743774422 
150,8516.58496044923 
160,9106.893234008785 
170,10263.16582812501 
180,9724.072445920818 
190,11987.768388267232 
200,10335.964367431641 
210,10070.617346246152 
220,11251.386619259174 
230,9662.042682263265 
240,10018.8849963379 
250,11401.509980457207 
260,11018.87188268416 
270,9992.2831328125 
280,9890.00253804524 
290,12046.215059878981 
300,9329.707281471909 
310,12478.846161826828 
320,10644.025688142976 
330,9938.327260571874 
340,9800.745589615466 
350,9600.113909423866 
360,10021.725480957042 
370,9381.170405761712 
380,9792.902723144543 
390,8090.942378444637 
400,10127.785811070944 
410,9523.695437377904 
420,9551.746945556633 
430,9036.379686101676 
440,9265.321697297639 
450,10090.837224226752 
460,11236.07827105646 
470,9970.147165398841 
480,10270.215499622778 
490,10086.194662109363 
500,12360.008556978197 
510,11054.980709214324 
520,10707.863041259778 
530,9982.77069689941 
540,9647.039851074227 
550,9858.380007292113 
560,12192.69180941196 
570,10234.890156826035 
580,9751.101932668338 
590,14706.127955987204 
600,11974.418624939915 
610,12213.945709031825 
620,13681.893584510917 
630,11918.564637195605 
640,15524.292041896544 
650,14104.286040059633 
660,13207.879647575826 
670,11800.508685942148 
680,9754.343571044928 
690,9892.873390136716 
700,9684.253337524426 
710,9090.976611083977 
720,9561.355965612367 
730,11886.833219485106 
740,9806.84046972657 
750,12252.827693359384 
760,10264.033219238285 
770,10577.59957324218 
780,11367.77163671172 
790,10163.396261041806 
800,9635.693904296886 
810,10543.471232666012 
820,12497.327978761401 
830,10221.619511697152 
840,10582.957365665878 
850,12150.412896388589 
860,11528.90496419271 
870,11537.489594251965 
880,11561.276745614017 
890,10665.338157487155 
900,10361.384877705148 
910,10729.933979955875 
920,10582.808671798448 
930,9642.210772094699 
940,10095.734589355481 
950,11281.007698364243 
960,12449.152007391609 
970,12789.622920111553 
980,11311.011691903714 
990,9314.726575869612 
1000,9898.297416733241 
1010,9443.089681884758 
1020,11483.479680297873 
1030,10462.683912597657 
1040,13166.550714475306 
1050,10807.484002763293 
1060,9604.720460937519 
1070,10752.958008092788 
1080,13927.261473301187 
1090,10501.353137774104 
1100,8988.56068620963 
1110,8366.33732543946 
1120,8573.358405371477 
1130,9970.525284162595 
1140,9711.181049072264 
1150,11167.901525756817 
1160,10369.189002441406 
1170,12976.352718577653 
1180,12244.452033022631 
1190,12766.650554443357 
1200,11135.141334838874 
1210,9475.065609985359 
1220,8864.08136035157 
1230,12461.270626501191 
1240,11236.865059314581 
1250,12776.889244915303 
1260,11285.284517544245 
1270,9064.144755371086 
1280,11167.895198889493 
1290,10063.609149348851 
1300,9912.541901129669 
1310,9806.839496093746 
1320,9684.200692138687 
1330,10688.71700488283 
1340,12298.278801499053 
1350,13194.094170039538 
1360,12427.421975787262 
1370,11380.151694452532 
1380,10856.65873344501 
1390,13951.053974915782 
1400,12485.472115083274 
1410,11325.928183039501 
1420,9664.344050789992 
1430,9269.45538793946 
1440,12399.64150922417 
1450,11244.056693069999 
1460,10888.202176155297 
1470,11872.74074559302 
1480,9431.688002324727 
1490,10274.19554127944 
1500,9824.992465576175 
1510,10930.788344777686 
1520,9653.996508117116 
1530,10695.014041381814 
1540,10867.823725432863 
1549,9153.070169251367 
