time,users,connected 
0,618, 
10,1000,655 
20,1058,1000 
30,1390,36 
40,1608,608 
50,1296,1000 
60,2196,910 
70,1512,0 
80,1071,369 
90,1768,1000 
100,1384,0 
110,1273,1384 
120,1544,754 
130,2000,826 
140,1021,939 
150,1915,1000 
160,1000,248 
170,1002,1000 
180,1873,1012 
190,1000,745 
200,1000,1000 
210,1930,1108 
220,1032,968 
230,1218,1000 
240,2000,1000 
250,1384,1000 
260,2000,712 
270,1000,1004 
280,1780,1004 
290,1646,781 
300,1000,1004 
310,2206,1110 
320,1032,4 
330,1001,1005 
340,1936,1004 
350,1000,557 
360,1144,1004 
370,2000,1004 
380,1397,1004 
390,1938,1004 
400,1634,922 
410,1000,4 
420,1191,1004 
430,1708,1004 
440,1000,1004 
450,2168,1133 
460,1000,1003 
470,2220,932 
480,1000,253 
490,1492,1004 
500,1461,927 
510,1312,1004 
520,2000,907 
530,1000,1004 
540,2000,1004 
550,1480,990 
560,1941,791 
570,1203,4 
580,1068,1004 
590,2508,1465 
600,1785,1004 
610,1768,407 
620,1581,1938 
630,1733,780 
640,2224,1228 
650,1800,948 
660,1790,1039 
670,1000,39 
680,1000,1004 
690,2000,1004 
700,1000,1004 
710,1766,1004 
720,1549,1004 
730,1414,1004 
740,2000,1004 
750,1215,923 
760,2000,1004 
770,1095,1004 
780,1056,53 
790,1053,1004 
800,2000,1004 
810,1419,1004 
820,1808,1004 
830,1000,1004 
840,2570,1004 
850,1164,1230 
860,1904,1003 
870,1482,4 
880,1053,1096 
890,1591,620 
900,1717,702 
910,1193,965 
920,2000,886 
930,1000,959 
940,2000,923 
950,1000,1004 
960,2587,1125 
970,1064,211 
980,1971,674 
990,1320,324 
1000,1171,908 
1010,2000,972 
1020,1000,990 
1030,2000,1004 
1040,1256,225 
1050,1577,748 
1060,1000,4 
1070,1648,1003 
1080,1636,958 
1090,1357,748 
1100,1000,4 
1110,1296,1004 
1120,1486,681 
1130,1000,1004 
1140,2000,1004 
1150,1000,1004 
1160,2000,1004 
1170,1504,765 
1180,1397,1004 
1190,2000,1004 
1200,1785,673 
1210,1000,1004 
1220,2000,1004 
1230,1159,951 
1240,2384,890 
1250,1326,4 
1260,1311,1004 
1270,2000,1004 
1280,1518,1004 
1290,1850,1004 
1300,1598,1004 
1310,1000,1004 
1320,1844,1004 
1330,2000,1004 
1340,2245,940 
1350,2000,703 
1360,1113,1357 
1370,1480,484 
1380,1243,1888 
1390,2000,857 
1400,1255,1004 
1410,1895,1004 
1420,1000,4 
1430,2000,1004 
1440,1485,1153 
1450,2000,1004 
1460,1256,1004 
1470,2000,516 
1480,1192,407 
1490,1529,1004 
1500,2000,1004 
1510,1429,1095 
1520,2000,1004 
1530,1153,1004 
1540,1788,662 
1549,0,4 
