time,users,connected 
0,618, 
10,2000,655 
20,2000,345 
30,2000,-964 
40,2000,572 
50,2000,392 
60,2196,-90 
70,2241,-910 
80,2241,369 
90,2241,631 
100,2241,-1000 
110,2241,1384 
120,2241,-630 
130,2241,72 
140,2241,113 
150,2241,61 
160,2241,-752 
170,2241,752 
180,2330,12 
190,2330,-267 
200,2330,255 
210,2330,108 
220,2330,-140 
230,2330,32 
240,2330,0 
250,2504,0 
260,2504,-288 
270,2504,292 
280,2504,0 
290,2504,-223 
300,2504,223 
310,2504,106 
320,2504,-1106 
330,2504,1001 
340,2504,-1 
350,2504,-447 
360,2504,447 
370,2504,0 
380,2504,0 
390,2504,0 
400,2504,-82 
410,2504,-918 
420,2504,1000 
430,2504,0 
440,2504,0 
450,2504,129 
460,2504,-130 
470,2504,-71 
480,2504,-679 
490,2504,751 
500,2653,-77 
510,2653,77 
520,2653,-97 
530,2653,97 
540,2653,0 
550,2653,-14 
560,2653,-199 
570,2653,-787 
580,2653,1000 
590,2992,461 
600,2992,-461 
610,2992,-597 
620,2992,1531 
630,2992,-1158 
640,2992,448 
650,2992,-280 
660,2992,91 
670,2992,-1000 
680,2992,965 
690,2992,0 
700,2992,0 
710,2992,0 
720,2992,0 
730,2992,0 
740,2992,0 
750,2992,-81 
760,2992,81 
770,2992,0 
780,2992,-951 
790,2992,951 
800,2992,0 
810,2992,0 
820,2992,0 
830,2992,0 
840,2992,0 
850,2992,226 
860,2992,-227 
870,2992,-999 
880,2992,1092 
890,2992,-476 
900,2992,82 
910,2992,263 
920,2992,-79 
930,2992,73 
940,2992,-36 
950,2992,81 
960,2992,121 
970,2992,-914 
980,2992,463 
990,2992,-350 
1000,2992,584 
1010,2992,64 
1020,2992,18 
1030,2992,14 
1040,2992,-779 
1050,2992,523 
1060,2992,-744 
1070,2992,999 
1080,2992,-45 
1090,2992,-210 
1100,2992,-744 
1110,2992,1000 
1120,2992,-323 
1130,2992,323 
1140,2992,0 
1150,2992,0 
1160,2992,0 
1170,2992,-239 
1180,2992,239 
1190,2992,0 
1200,2992,-331 
1210,2992,331 
1220,2992,0 
1230,2992,-53 
1240,2992,-61 
1250,2992,-886 
1260,2992,1000 
1270,2992,0 
1280,2992,0 
1290,2992,0 
1300,2992,0 
1310,2992,0 
1320,2992,0 
1330,2992,0 
1340,2992,-64 
1350,2992,-237 
1360,2992,654 
1370,2992,-873 
1380,2992,1404 
1390,2992,-1031 
1400,2992,147 
1410,2992,0 
1420,2992,-1000 
1430,2992,1000 
1440,2992,149 
1450,2992,-149 
1460,2992,0 
1470,2992,-488 
1480,2992,-109 
1490,2992,597 
1500,2992,0 
1510,2992,91 
1520,2992,-91 
1530,2992,0 
1540,2992,-342 
1549,2992,-658 
