time,page 
10,28.60595703125 
20,16.943115234375 
30,16.943115234375 
40,1.184814453125 
50,1.184814453125 
60,1.184814453125 
70,1.184814453125 
80,1.184814453125 
90,1.184814453125 
100,0.81884765625 
110,0.81884765625 
120,0.81884765625 
130,0.672119140625 
140,0.672119140625 
150,0.672119140625 
160,0.672119140625 
170,0.672119140625 
180,0.672119140625 
190,0.672119140625 
200,0.672119140625 
210,0.672119140625 
220,0.672119140625 
230,0.672119140625 
240,0.672119140625 
250,0.672119140625 
260,0.672119140625 
270,0.672119140625 
280,0.672119140625 
290,0.672119140625 
300,0.672119140625 
310,0.672119140625 
320,0.672119140625 
330,0.672119140625 
340,0.672119140625 
350,0.672119140625 
360,0.672119140625 
370,0.672119140625 
380,0.672119140625 
390,0.672119140625 
400,0.672119140625 
410,0.672119140625 
420,0.672119140625 
430,0.672119140625 
440,0.672119140625 
450,0.672119140625 
460,0.672119140625 
470,0.672119140625 
480,0.672119140625 
490,0.672119140625 
500,0.672119140625 
510,0.672119140625 
520,0.672119140625 
530,0.672119140625 
540,0.672119140625 
550,0.672119140625 
560,0.672119140625 
570,0.672119140625 
580,0.672119140625 
590,0.672119140625 
600,0.672119140625 
610,0.672119140625 
620,0.6708984375 
630,0.6708984375 
640,0.6708984375 
650,0.6689453125 
660,0.6689453125 
670,0.6689453125 
680,0.6689453125 
690,0.6689453125 
700,0.6689453125 
710,0.6689453125 
720,0.6689453125 
730,0.6689453125 
740,0.6689453125 
750,0.6689453125 
760,0.6689453125 
770,0.6689453125 
780,0.6689453125 
790,0.6689453125 
800,0.6689453125 
810,0.6689453125 
820,0.6689453125 
830,0.6689453125 
840,0.6689453125 
850,0.6689453125 
860,0.6689453125 
870,0.6689453125 
880,0.6689453125 
890,0.6689453125 
900,0.6689453125 
910,0.6689453125 
920,0.6689453125 
930,0.6689453125 
940,0.6689453125 
950,0.6689453125 
960,0.6689453125 
970,0.6689453125 
980,0.6689453125 
990,0.6689453125 
1000,0.6689453125 
1010,0.6689453125 
1020,0.6689453125 
1030,0.6689453125 
1040,0.6689453125 
1050,0.6689453125 
1060,0.6689453125 
1070,0.6689453125 
1080,0.6689453125 
1090,0.6689453125 
1100,0.6689453125 
1110,0.6689453125 
1120,0.6689453125 
1130,0.6689453125 
1140,0.6689453125 
1150,0.6689453125 
1160,0.6689453125 
1170,0.6689453125 
1180,0.6689453125 
