time,size_sent,size_rcv 
10,644.53125,7304.6875 
20,605.21484375,6691.09375 
30,1048.18359375,11520.8203125 
40,690.3515625,8341.953125 
50,987.83203125,10781.71875 
60,769.98046875,9140.15625 
70,1051.0546875,11911.953125 
80,726.62109375,8080.9765625 
90,1050.46875,11536.7578125 
100,687.48046875,8314.0625 
110,898.7109375,9609.6484375 
120,761.07421875,9098.984375 
130,1015.95703125,10917.8515625 
140,786.97265625,9411.7578125 
150,645.17578125,7350.5078125 
160,890.09765625,9452.9296875 
170,716.1328125,8711.171875 
180,1044.19921875,11216.015625 
190,858.046875,10241.8359375 
200,916.0546875,9781.640625 
210,788.7890625,9485.46875 
220,860.80078125,9268.3203125 
230,950.56640625,11271.1328125 
240,785.390625,8424.9609375 
250,973.2421875,11506.2109375 
260,752.2265625,8018.5546875 
270,947.05078125,10587.1484375 
280,644.47265625,7956.796875 
290,653.5546875,7215.703125 
300,1104.2578125,12706.171875 
310,946.5234375,10106.3671875 
320,811.2890625,9787.6171875 
330,740.21484375,7861.171875 
340,903.57421875,10743.203125 
350,923.4375,9801.5625 
360,852.0703125,9603.0078125 
370,874.16015625,10053.2421875 
380,979.98046875,11678.203125 
390,622.8515625,6965.3515625 
400,1166.71875,12999.0234375 
410,1038.92578125,11391.9921875 
420,723.28125,8709.1796875 
430,1001.6015625,11202.734375 
440,735.17578125,8542.5 
450,1146.38671875,12525.546875 
460,633.33984375,7468.046875 
470,1081.0546875,12429.921875 
480,812.8125,8715.8203125 
490,998.7890625,11862.8125 
500,676.58203125,7122.0703125 
510,977.40234375,11552.03125 
520,844.04296875,8995.390625 
530,909.19921875,10690.7421875 
540,977.51953125,10771.09375 
550,750.87890625,8936.953125 
560,713.14453125,8131.4453125 
570,750.5859375,8506.640625 
580,841.46484375,9117.578125 
590,916.34765625,10789.0234375 
600,862.03125,9266.9921875 
610,895.78125,10531.3671875 
620,918.515625,10046.6015625 
630,861.85546875,9914.453125 
640,923.02734375,10051.25 
650,776.54296875,9383.203125 
660,1016.1328125,11444.453125 
670,777.36328125,8881.8359375 
680,816.73828125,8697.890625 
690,836.07421875,10008.0859375 
700,785.44921875,8851.2890625 
710,918.10546875,10142.890625 
720,894.43359375,9798.2421875 
730,964.62890625,11476.9921875 
740,707.578125,7661.2890625 
750,1054.6875,12260.5859375 
760,755.859375,8060.390625 
770,1007.05078125,11832.265625 
780,854.296875,9357.3046875 
790,952.55859375,11200.7421875 
800,945.234375,10053.90625 
810,782.28515625,9403.125 
820,914.765625,9818.828125 
830,873.33984375,10500.15625 
840,920.80078125,10089.1015625 
850,895.60546875,9920.4296875 
860,931.2890625,10613.7109375 
870,989.12109375,11233.9453125 
880,869.8828125,9905.8203125 
890,792.5390625,9029.921875 
900,1046.07421875,12212.109375 
910,1015.6640625,10883.3203125 
920,615.41015625,7532.4609375 
930,969.31640625,10634.296875 
940,813.92578125,9388.515625 
950,1089.609375,11900 
960,769.51171875,9335.390625 
970,981.5625,10460.3125 
980,776.25,9461.5625 
990,948.1640625,10081.796875 
1000,704.35546875,8455.5078125 
1010,1071.15234375,11736.640625 
1020,791.953125,9343.359375 
1030,1032.3046875,11168.8671875 
1040,753.28125,8911.71875 
1050,1010.2734375,11301.6796875 
1060,860.80078125,9373.90625 
1070,972.24609375,11682.8515625 
1080,701.015625,7697.8125 
1090,1005.76171875,11543.3984375 
1100,950.390625,10597.7734375 
1110,865.8984375,9515.3515625 
1120,856.23046875,9646.8359375 
1130,952.734375,11289.0625 
1140,891.6796875,9782.3046875 
1150,865.25390625,10079.8046875 
1160,1036.23046875,11323.59375 
1170,696.26953125,8290.15625 
1180,726.97265625,8239.0234375 
