time,connect,request 
10,3595.5227965087893,1040.6492629616487 
20,3410.8634838867188,622.8694155133871 
30,3479.881823523569,480.5255453360545 
40,3801.478610556266,864.9663095256573 
50,3286.638211181639,456.08523492655763 
60,3618.3505950927724,860.998045793009 
70,3985.1753247070315,413.22156227189265 
80,3565.8330607427174,944.5216369102274 
90,3830.239521111041,567.8193383405396 
100,3082.3839094237273,919.5435456979776 
110,3772.0191627844656,440.0662976925103 
120,3788.3189809398436,1351.6408158732502 
130,3900.5972194455753,719.6014420276987 
140,3263.4555435073044,605.0910224222853 
150,3498.763075199966,811.963073427196 
160,3380.198852783203,404.3852091428478 
170,3970.262124046285,1096.0597130618955 
180,3075.686936899211,859.5768773234246 
190,3689.4718797378114,950.7838820839256 
200,3112.886590391214,499.81668433495713 
210,3415.0015093841675,567.7884622155664 
220,3861.8193257592466,765.7871955072948 
230,3506.923637345315,810.4554921567839 
240,3523.2285314099545,576.9712724015932 
250,3458.2565208740207,672.5076427132709 
260,3838.239444824219,589.7788285091511 
270,3535.675427992411,563.6104562904574 
280,3587.199655356526,879.9921811428065 
290,3662.0828361816402,523.6321454833684 
300,3935.6433826904295,646.048024351899 
310,3877.868860923858,558.4519760464773 
320,3601.221028763435,847.5121179983496 
330,3667.204321044921,551.8186130436691 
340,4211.810571605457,1401.1170235451818 
350,3771.634462913014,720.2536476362692 
360,2928.284498357639,526.5908402171948 
370,3774.8730616328457,752.5643518821937 
380,3520.702580537684,747.6355337669837 
390,4002.443930908203,641.0195055117921 
400,4100.50373037083,860.0693383859932 
410,4013.389594701714,699.5134567238532 
420,3718.5101115321536,854.645465332218 
430,3486.527077392578,505.1509292683899 
440,3634.634194824217,881.7036730258628 
450,3964.31951456136,505.86999248965367 
460,3800.544974853516,931.2112455522383 
470,3892.5134825846353,553.5458548790846 
480,4005.3421423161435,814.9994314660661 
490,3928.6768789910225,842.7959743009467 
500,3835.7621394042962,652.7254997313902 
510,3621.264429621021,438.88698646824344 
520,3791.375667093454,1092.7221800579289 
530,3497.308006147228,465.25520397593704 
540,3823.3018498633455,696.8588404644869 
550,3740.8410258405083,1228.7267367825277 
560,3876.196364925406,561.9191785669838 
570,3776.131643205767,995.5078057532559 
580,3262.553098388672,509.7982231612512 
590,3720.8783912798644,815.4638080805602 
600,3791.804137207031,474.46656706265657 
610,3664.5496697998074,806.2589636508166 
620,3756.858595433732,435.74717478512963 
630,3811.962727687902,853.0149047141991 
640,3232.1167937011737,453.01428222656256 
650,3541.0780010076455,934.2977762632474 
660,3364.0050073048424,533.4370111379311 
670,3267.908955566408,773.4371518691594 
680,3568.838604248047,649.3047281341867 
690,4012.3319676037177,982.8387448263522 
700,3750.188417572453,961.6748214522894 
710,3659.875660225521,608.0961326967764 
720,3822.6586188882507,831.8738629525345 
730,3313.4373972402427,518.2871091914963 
740,3720.604403930663,879.1632528808484 
750,3750.790788501612,473.36196250979356 
760,3705.536063275567,875.203930012377 
770,3816.6583890895495,480.4830608361476 
780,4042.3114595662073,934.2991387801296 
790,3475.378935921249,753.6921991417904 
800,3731.027272460937,452.1991163044673 
810,4279.11174122991,850.7397565328409 
820,4085.2351331135005,681.2901564974421 
830,3691.787861642923,860.7208280116113 
840,3751.1022327394403,567.9101020161669 
850,3957.4767361326435,771.4616792207627 
860,3625.58343227981,597.9077727674303 
870,3784.3855402063036,734.2630714596463 
880,3357.682080844485,493.9116969529569 
890,3694.1131169921846,782.3207190000671 
900,3576.1971853027344,602.2445542568362 
910,3763.3957446289064,444.652241022942 
920,4031.056499745304,1497.0753245483663 
930,3458.559887754912,714.4208522627131 
940,3827.7046756519985,984.1492846703876 
950,3564.1709063829044,448.48231970923206 
960,3637.442700439451,836.8077640400473 
970,3333.478168457031,529.5558406583816 
980,3632.075112792969,868.9369562867621 
990,3564.477233154297,459.8006309737417 
1000,4095.8717112821687,653.299292982049 
1010,3631.053288161526,847.7358067757111 
1020,3730.973923895769,863.6985719673679 
1030,3935.9344354766645,529.5985924441642 
1040,3783.6397238097757,921.8065807376826 
1050,3400.083747005799,482.967085098365 
1060,3760.712521831005,774.3879958704354 
1070,3507.6684453124935,544.6871980333109 
1080,3259.5763916015644,848.6834207959981 
1090,3667.3438780737692,848.6068250930078 
1100,3949.101309962584,670.3078124357485 
1110,3600.4845085480943,714.1112431894794 
1120,3995.7175363991464,650.5727193462351 
1130,3841.052411499022,786.111104003908 
1140,3722.3604770507814,459.751770686605 
1150,3907.5134825680975,1005.0754113322984 
1160,3383.053624720743,488.5912996167281 
1170,3587.8001622314455,732.0178328575352 
1180,4302.350563432116,575.5693865877778 
