time,session 
10,7802.35791015625 
20,7802.35791015625 
30,7802.35791015625 
40,7802.35791015625 
50,7802.35791015625 
60,7802.35791015625 
70,7802.35791015625 
80,7802.35791015625 
90,7802.35791015625 
100,7802.35791015625 
110,7802.35791015625 
120,7802.35791015625 
130,7802.35791015625 
140,7802.35791015625 
150,7802.35791015625 
160,7802.35791015625 
170,7802.35791015625 
180,7802.35791015625 
190,7802.35791015625 
200,7802.35791015625 
210,7802.35791015625 
220,7802.35791015625 
230,7802.35791015625 
240,7802.35791015625 
250,7802.35791015625 
260,7802.35791015625 
270,7802.35791015625 
280,7802.35791015625 
290,7802.35791015625 
300,7802.35791015625 
310,7802.35791015625 
320,7802.35791015625 
330,7802.35791015625 
340,7802.35791015625 
350,7802.35791015625 
360,7802.35791015625 
370,7802.35791015625 
380,7681.761962890625 
390,7681.761962890625 
400,7681.761962890625 
410,7681.761962890625 
420,7681.761962890625 
430,7681.761962890625 
440,7681.761962890625 
450,7337.780029296875 
460,7337.780029296875 
470,7337.780029296875 
480,7337.780029296875 
490,7337.780029296875 
500,7337.780029296875 
510,7337.780029296875 
520,7337.780029296875 
530,7337.780029296875 
540,7337.780029296875 
550,7337.780029296875 
560,7337.780029296875 
570,7337.780029296875 
580,7337.780029296875 
590,7337.780029296875 
600,7337.780029296875 
610,7337.780029296875 
620,7337.780029296875 
630,7337.780029296875 
640,7337.780029296875 
650,7337.780029296875 
660,7337.780029296875 
670,7337.780029296875 
680,7337.780029296875 
690,7337.780029296875 
700,7337.780029296875 
710,7337.780029296875 
720,7337.780029296875 
730,7337.780029296875 
740,7337.780029296875 
750,7337.780029296875 
760,7337.780029296875 
770,7337.780029296875 
780,7337.780029296875 
790,7337.780029296875 
800,7337.780029296875 
810,7337.780029296875 
820,7337.780029296875 
830,7337.780029296875 
840,7337.780029296875 
850,7337.780029296875 
860,7337.780029296875 
870,7337.780029296875 
880,7337.780029296875 
890,7337.780029296875 
900,7337.780029296875 
910,7337.780029296875 
920,7337.780029296875 
930,7337.780029296875 
940,7337.780029296875 
950,7337.780029296875 
960,7337.780029296875 
970,7337.780029296875 
980,7337.780029296875 
990,7337.780029296875 
1000,7337.780029296875 
1010,7337.780029296875 
1020,7337.780029296875 
1030,7337.780029296875 
1040,7337.780029296875 
1050,7337.780029296875 
1060,7292.6240234375 
1070,7292.6240234375 
1080,7292.6240234375 
1090,7292.6240234375 
1100,7292.6240234375 
1110,7292.6240234375 
1120,7292.6240234375 
1130,7292.6240234375 
1140,7292.6240234375 
1150,7292.6240234375 
1160,7292.6240234375 
1170,7292.6240234375 
1180,6993.442138671875 
