time,users_count,finish_users_count 
0,95.2,0 
10,104.8,100 
20,184.6,100 
30,115.4,138.4 
40,117.9,161.6 
50,182.1,100 
60,124.2,200 
70,175.8,188.2 
80,157.8,111.8 
90,142.2,173.9 
100,112.7,126.1 
110,187.3,74.3 
120,100,152.1 
130,200,173.6 
140,100,200 
150,158.7,100 
160,141.3,100 
170,145.8,117.1 
180,154.2,199.7 
190,100,183.2 
200,200,100 
210,100,200 
220,200.1,100 
230,100,200.1 
240,200,100 
250,100,200 
260,200,67.5 
270,100,182.4 
280,109.1,150.1 
290,190.9,153 
300,102.4,147 
310,197.6,100 
320,100,200 
330,200,16.1 
340,100,210.6 
350,172.8,173.3 
360,127.2,198.3 
370,200,97.2 
380,100,204.5 
390,200,78 
400,175.7,222 
410,124.3,181.6 
420,172.6,118.4 
430,127.4,200 
440,179.5,100 
450,120.5,200 
460,195.6,100 
470,104.4,200 
480,200,67.7 
490,100,232.3 
500,200,100 
510,100,127.4 
520,176.1,172.6 
530,123.9,184 
540,200,89.8 
550,100,209.3 
560,200,116.9 
570,100,200 
580,200,100 
590,100,200 
600,200,100 
610,127.6,200 
620,172.4,106.6 
630,117.8,193.4 
640,182.2,100 
650,100.8,182.9 
660,199.2,202.8 
670,100,114.3 
680,200,100 
690,106.3,111.5 
700,193.8,188.5 
710,100,145.7 
720,173,145.5 
730,127,208.9 
740,200,100 
750,100,200 
760,200,100 
770,100,195.6 
780,200,104.4 
790,100,200 
800,200,100 
810,118.2,152 
820,181.8,148 
830,118.8,200 
840,181.2,125.6 
850,182.7,174.4 
860,117.3,106.2 
870,182.9,193.8 
880,117.1,185.5 
890,200,114.5 
900,100,200 
910,200,19.3 
920,113.2,225.6 
930,186.8,176.2 
940,100,160.3 
950,200,118.6 
960,103.3,200 
970,196.7,100 
980,100,200 
990,200,100 
1000,200,156.5 
1010,100,194.9 
1020,133.3,148.6 
1030,166.7,108.5 
1040,195.1,191.5 
1050,104.9,180.8 
1060,168.4,119.2 
1070,131.6,200 
1080,200,100 
1090,100,150.7 
1100,200,149.3 
1110,100,157.9 
1120,200,142.1 
1130,100,200 
1140,200,100 
1150,133.6,198.5 
1160,166.4,201.5 
1170,129.6,58.4 
1180,0,171.2 
