time,size_sent,size_rcv 
10,644.53125,7304.6875 
20,1249.74609375,13995.78125 
30,2297.9296875,25516.6015625 
40,2988.28125,33858.5546875 
50,3976.11328125,44640.2734375 
60,4746.09375,53780.4296875 
70,5797.1484375,65692.3828125 
80,6523.76953125,73773.359375 
90,7574.23828125,85310.1171875 
100,8261.71875,93624.1796875 
110,9160.4296875,103233.828125 
120,9921.50390625,112332.8125 
130,10937.4609375,123250.6640625 
140,11724.43359375,132662.421875 
150,12369.609375,140012.9296875 
160,13259.70703125,149465.859375 
170,13975.83984375,158177.03125 
180,15020.0390625,169393.046875 
190,15878.0859375,179634.8828125 
200,16794.140625,189416.5234375 
210,17582.9296875,198901.9921875 
220,18443.73046875,208170.3125 
230,19394.296875,219441.4453125 
240,20179.6875,227866.40625 
250,21152.9296875,239372.6171875 
260,21905.15625,247391.171875 
270,22852.20703125,257978.3203125 
280,23496.6796875,265935.1171875 
290,24150.234375,273150.8203125 
300,25254.4921875,285856.9921875 
310,26201.015625,295963.359375 
320,27012.3046875,305750.9765625 
330,27752.51953125,313612.1484375 
340,28656.09375,324355.3515625 
350,29579.53125,334156.9140625 
360,30431.6015625,343759.921875 
370,31305.76171875,353813.1640625 
380,32285.7421875,365491.3671875 
390,32908.59375,372456.71875 
400,34075.3125,385455.7421875 
410,35114.23828125,396847.734375 
420,35837.51953125,405556.9140625 
430,36839.12109375,416759.6484375 
440,37574.296875,425302.1484375 
450,38720.68359375,437827.6953125 
460,39354.0234375,445295.7421875 
470,40435.078125,457725.6640625 
480,41247.890625,466441.484375 
490,42246.6796875,478304.296875 
500,42923.26171875,485426.3671875 
510,43900.6640625,496978.3984375 
520,44744.70703125,505973.7890625 
530,45653.90625,516664.53125 
540,46631.42578125,527435.625 
550,47382.3046875,536372.578125 
560,48095.44921875,544504.0234375 
570,48846.03515625,553010.6640625 
580,49687.5,562128.2421875 
590,50603.84765625,572917.265625 
600,51465.87890625,582184.2578125 
610,52361.66015625,592715.625 
620,53280.17578125,602762.2265625 
630,54142.03125,612676.6796875 
640,55065.05859375,622727.9296875 
650,55841.6015625,632111.1328125 
660,56857.734375,643555.5859375 
670,57635.09765625,652437.421875 
680,58451.8359375,661135.3125 
690,59287.91015625,671143.3984375 
700,60073.359375,679994.6875 
710,60991.46484375,690137.578125 
720,61885.8984375,699935.8203125 
730,62850.52734375,711412.8125 
740,63558.10546875,719074.1015625 
750,64612.79296875,731334.6875 
760,65368.65234375,739395.078125 
770,66375.703125,751227.34375 
780,67230,760584.6484375 
790,68182.55859375,771785.390625 
800,69127.79296875,781839.296875 
810,69910.078125,791242.421875 
820,70824.84375,801061.25 
830,71698.18359375,811561.40625 
840,72618.984375,821650.5078125 
850,73514.58984375,831570.9375 
860,74445.87890625,842184.6484375 
870,75435,853418.59375 
880,76304.8828125,863324.4140625 
890,77097.421875,872354.3359375 
900,78143.49609375,884566.4453125 
910,79159.16015625,895449.765625 
920,79774.5703125,902982.2265625 
930,80743.88671875,913616.5234375 
940,81557.8125,923005.0390625 
950,82647.421875,934905.0390625 
960,83416.93359375,944240.4296875 
970,84398.49609375,954700.7421875 
980,85174.74609375,964162.3046875 
990,86122.91015625,974244.1015625 
1000,86827.265625,982699.609375 
1010,87898.41796875,994436.25 
1020,88690.37109375,1003779.609375 
1030,89722.67578125,1014948.4765625 
1040,90475.95703125,1023860.1953125 
1050,91486.23046875,1035161.875 
1060,92347.03125,1044535.78125 
1070,93319.27734375,1056218.6328125 
1080,94020.29296875,1063916.4453125 
1090,95026.0546875,1075459.84375 
1100,95976.4453125,1086057.6171875 
1110,96842.34375,1095572.96875 
1120,97698.57421875,1105219.8046875 
1130,98651.30859375,1116508.8671875 
1140,99542.98828125,1126291.171875 
1150,100408.2421875,1136370.9765625 
1160,101444.47265625,1147694.5703125 
1170,102140.7421875,1155984.7265625 
1180,102867.71484375,1164223.75 
