time,session 
10,100 
20,100 
30,138.4 
40,161.6 
50,100 
60,200 
70,188.2 
80,111.8 
90,173.9 
100,126.1 
110,74.3 
120,152.1 
130,173.6 
140,200 
150,100 
160,100 
170,117.1 
180,199.7 
190,183.2 
200,100 
210,200 
220,100 
230,200.1 
240,100 
250,200 
260,67.5 
270,182.4 
280,150.1 
290,153 
300,147 
310,100 
320,200 
330,16.1 
340,210.6 
350,173.3 
360,198.3 
370,97.2 
380,204.5 
390,78 
400,222 
410,181.6 
420,118.4 
430,200 
440,100 
450,200 
460,100 
470,200 
480,67.7 
490,232.3 
500,100 
510,127.4 
520,172.6 
530,184 
540,89.8 
550,209.3 
560,116.9 
570,200 
580,100 
590,200 
600,100 
610,200 
620,106.6 
630,193.4 
640,100 
650,182.9 
660,202.8 
670,114.3 
680,100 
690,111.5 
700,188.5 
710,145.7 
720,145.5 
730,208.9 
740,100 
750,200 
760,100 
770,195.6 
780,104.4 
790,200 
800,100 
810,152 
820,148 
830,200 
840,125.6 
850,174.4 
860,106.2 
870,193.8 
880,185.5 
890,114.5 
900,200 
910,19.3 
920,225.6 
930,176.2 
940,160.3 
950,118.6 
960,200 
970,100 
980,200 
990,100 
1000,156.5 
1010,194.9 
1020,148.6 
1030,108.5 
1040,191.5 
1050,180.8 
1060,119.2 
1070,200 
1080,100 
1090,150.7 
1100,149.3 
1110,157.9 
1120,142.1 
1130,200 
1140,100 
1150,198.5 
1160,201.5 
1170,58.4 
1180,171.2 
