time,users_count,finish_users_count 
0,952,0 
10,2000,1000 
20,3846,2000 
30,5000,3384 
40,6179,5000 
50,8000,6000 
60,9242,8000 
70,11000,9882 
80,12578,11000 
90,14000,12739 
100,15127,14000 
110,17000,14743 
120,18000,16264 
130,20000,18000 
140,21000,20000 
150,22587,21000 
160,24000,22000 
170,25458,23171 
180,27000,25168 
190,28000,27000 
200,30000,28000 
210,31000,30000 
220,33001,31000 
230,34001,33001 
240,36001,34001 
250,37001,36001 
260,39001,36676 
270,40001,38500 
280,41092,40001 
290,43001,41531 
300,44025,43001 
310,46001,44001 
320,47001,46001 
330,49001,46162 
340,50001,48268 
350,51729,50001 
360,53001,51984 
370,55001,52956 
380,56001,55001 
390,58001,55781 
400,59758,58001 
410,61001,59817 
420,62727,61001 
430,64001,63001 
440,65796,64001 
450,67001,66001 
460,68957,67001 
470,70001,69001 
480,72001,69678 
490,73001,72001 
500,75001,73001 
510,76001,74275 
520,77762,76001 
530,79001,77841 
540,81001,78739 
550,82001,80832 
560,84001,82001 
570,85001,84001 
580,87001,85001 
590,88001,87001 
600,90001,88001 
610,91277,90001 
620,93001,91067 
630,94179,93001 
640,96001,94001 
650,97009,95830 
660,99001,97858 
670,100001,99001 
680,102001,100001 
690,103064,101116 
700,105002,103001 
710,106002,104458 
720,107732,105913 
730,109002,108002 
740,111002,109002 
750,112002,111002 
760,114002,112002 
770,115002,113958 
780,117002,115002 
790,118002,117002 
800,120002,118002 
810,121184,119522 
820,123002,121002 
830,124190,123002 
840,126002,124258 
850,127829,126002 
860,129002,127064 
870,130831,129002 
880,132002,130857 
890,134002,132002 
900,135002,134002 
910,137002,134195 
920,138134,136451 
930,140002,138213 
940,141002,139816 
950,143002,141002 
960,144035,143002 
970,146002,144002 
980,147002,146002 
990,149002,147002 
1000,151002,148567 
1010,152002,150516 
1020,153335,152002 
1030,155002,153087 
1040,156953,155002 
1050,158002,156810 
1060,159686,158002 
1070,161002,160002 
1080,163002,161002 
1090,164002,162509 
1100,166002,164002 
1110,167002,165581 
1120,169002,167002 
1130,170002,169002 
1140,172002,170002 
1150,173338,171987 
1160,175002,174002 
1170,176298,174586 
1180,176298,176298 
