time,connect,request 
10,1224.3419018072434,764.501466715386 
20,1135.9594625451073,706.5333963577667 
30,1121.3590773518358,758.7739300725497 
40,1226.6064455837984,776.9145140483606 
50,1121.3927966691015,698.5389499569162 
60,1158.2632974024139,730.9064558172458 
70,1226.4540827914377,723.4322778775158 
80,1172.7133062900127,713.3202037749078 
90,1187.8299908428864,694.4880208406105 
100,1095.119301810512,673.0891007814479 
110,1167.476255043168,713.1949028838744 
120,1333.853179660891,706.6700545035072 
130,1108.8162756171564,690.08021903519 
140,1021.9757600607803,628.9164718113813 
150,1102.0605052329545,702.8025950798093 
160,1025.8855721663697,641.5130486256313 
170,1132.5860361219131,685.9275677502258 
180,1107.6061989985162,676.8334705580432 
190,1152.755282217878,734.8745061306512 
200,1107.0573891514075,720.9214282848769 
210,1056.1244177874394,607.1933909693169 
220,1159.062966846868,733.9677762866284 
230,1063.4279821397497,660.235386710723 
240,1114.5413682376284,668.617690585703 
250,1140.0999040066652,765.077781458865 
260,1202.4822460527466,742.8499034363248 
270,1107.5128291409267,759.2067434355637 
280,1248.723635744706,652.6012434923342 
290,1106.186735736242,701.2383822234574 
300,1213.1541591465261,713.818513777296 
310,1207.1051182013985,736.11150708116 
320,1186.8573173201823,701.06644363642 
330,1125.1607009255943,699.8430886289799 
340,1190.5408805630373,729.1222241398966 
350,1164.5127267260873,720.536174982733 
360,1198.3985885076286,790.2828074893116 
364,780.2952951874153,887.8377038878969 
