time,connect,request 
10,49.3349609375,3.04296875 
20,40.036865234375,3.04296875 
30,40.036865234375,1.970947265625 
40,40.036865234375,1.970947265625 
50,34.885986328125,1.970947265625 
60,17.501953125,1.961181640625 
70,17.501953125,1.961181640625 
80,17.501953125,1.961181640625 
90,17.501953125,1.961181640625 
100,17.501953125,1.961181640625 
110,17.501953125,1.961181640625 
120,17.501953125,1.961181640625 
130,17.501953125,1.961181640625 
140,17.501953125,1.961181640625 
150,17.501953125,1.961181640625 
160,17.501953125,1.961181640625 
170,17.501953125,1.961181640625 
180,17.501953125,1.961181640625 
190,17.501953125,1.961181640625 
200,17.501953125,1.961181640625 
210,17.501953125,1.961181640625 
220,17.501953125,1.961181640625 
230,17.501953125,1.961181640625 
240,17.501953125,1.961181640625 
250,17.501953125,1.961181640625 
260,17.501953125,1.961181640625 
270,17.501953125,1.961181640625 
280,17.501953125,1.961181640625 
290,17.501953125,1.961181640625 
300,17.501953125,1.961181640625 
310,17.501953125,1.961181640625 
320,17.501953125,1.961181640625 
330,17.501953125,1.961181640625 
340,17.501953125,1.961181640625 
350,17.501953125,1.961181640625 
360,17.501953125,0.7978515625 
364,17.501953125,0.7978515625 
