time,users_count,finish_users_count 
0,10,0 
10,110,80 
20,208,202 
30,306,286 
40,401,363 
50,497,483 
60,586,558 
70,673,654 
80,768,750 
90,888,849 
100,985,975 
110,1077,1045 
120,1233,1192 
130,1740,1628 
140,2252,2043 
150,2728,2717 
160,3234,3079 
170,3669,3499 
180,4166,4069 
190,4675,4527 
200,5172,4939 
210,5723,5589 
220,6224,6045 
230,6707,6636 
240,7178,7056 
250,7378,7361 
260,7560,7508 
270,7758,7669 
280,7971,7929 
290,8168,8098 
300,8371,8347 
310,8560,8501 
320,8773,8755 
330,8980,8935 
340,9174,9089 
350,9369,9334 
360,9535,9500 
364,9535,9535 
