time,page 
10,764.501466715386 
20,706.5333963577667 
30,758.7739300725497 
40,776.9145140483606 
50,698.5389499569162 
60,730.9064558172458 
70,723.4322778775158 
80,713.3202037749078 
90,694.4880208406105 
100,673.0891007814479 
110,713.1949028838744 
120,706.6700545035072 
130,690.08021903519 
140,628.9164718113813 
150,702.8025950798093 
160,641.5130486256313 
170,685.9275677502258 
180,676.8334705580432 
190,734.8745061306512 
200,720.9214282848769 
210,607.1933909693169 
220,733.9677762866284 
230,660.235386710723 
240,668.617690585703 
250,765.077781458865 
260,742.8499034363248 
270,759.2067434355637 
280,652.6012434923342 
290,701.2383822234574 
300,713.818513777296 
310,736.11150708116 
320,701.06644363642 
330,699.8430886289799 
340,729.1222241398966 
350,720.536174982733 
360,790.2828074893116 
364,887.8377038878969 
